,state,fips,cases,deaths,employed-sugar-intake-daily
25417,Iowa,19,892558,10540,34.2 
25418,Kansas,20,924211,10042,32.4 
25419,Kentucky,21,1685679,17926,43.4 
25420,Louisiana,22,1533257,18479,46.9 
25421,Maryland,24,1341398,16273,28.0 
25422,Minnesota,27,1747751,14476,23.5 
25423,Mississippi,28,970585,13178,49.7 
25424,Nebraska,31,560510,4895,31.1 
25425,New Jersey,34,2989010,35782,22.7 
25426,New York,36,6682326,78679,23.1 
25427,North Carolina,37,3398161,29094,42.1 
25428,Ohio,39,3339612,41354,32.0 
25429,Oklahoma,40,1265785,16146,46.5 
25430,South Carolina,45,1807019,19628,42.0 
25431,Utah,49,1080380,5234,30.3 
25432,Vermont,50,149687,884,16.7 
25433,West Virginia,54,632661,7922,46.1 
25434,Wisconsin,55,1979132,16105,29.7 
25435,Alaska,2,303897,1426,26.2 
25436,Arizona,4,2398200,32775,33.0 
25437,California,6,11960085,102102,22.9 
25438,Connecticut,9,964476,11942,18.9 
25439,District of Columbia,11,175569,1421,18.5 
25440,Indiana,18,2024969,25796,35.9 
25441,Iowa,19,894124,10568,34.2 
25442,Kansas,20,926539,10042,32.4 
25443,Kentucky,21,1685679,17926,43.4 
25444,Louisiana,22,1538276,18525,46.9 
25445,Maryland,24,1342357,16280,28.0 
25446,Minnesota,27,1747751,14476,23.5 
25447,Mississippi,28,970585,13178,49.7 
25448,Nebraska,31,560524,4902,31.1 
25449,New Jersey,34,2991113,35794,22.7 
25450,New York,36,6685794,78700,23.1 
25451,North Carolina,37,3412542,29141,42.1 
25452,Ohio,39,3339612,41354,32.0 
25453,Oklahoma,40,1265785,16146,46.5 
25454,South Carolina,45,1807019,19628,42.0 
25455,Utah,49,1080380,5234,30.3 
25456,Vermont,50,150190,889,16.7 
25457,West Virginia,54,632957,7922,46.1 
25458,Wisconsin,55,1979919,16128,29.7 
25459,Alaska,2,303897,1426,26.2 
25460,Arizona,4,2398200,32775,33.0 
25461,California,6,11979032,102259,22.9 
25462,Connecticut,9,964903,11941,18.9 
25463,District of Columbia,11,176012,1422,18.5 
25464,Indiana,18,2024969,25796,35.9 
25465,Iowa,19,894124,10568,34.2 
25466,Kansas,20,926539,10042,32.4 
25467,Kentucky,21,1685679,17926,43.4 
25468,Louisiana,22,1538276,18525,46.9 
25469,Maryland,24,1343324,16285,28.0 
25470,Minnesota,27,1753092,14554,23.5 
25471,Mississippi,28,974487,13191,49.7 
25472,Nebraska,31,560585,4902,31.1 
25473,New Jersey,34,2993603,35804,22.7 
25474,New York,36,6690468,78721,23.1 
25475,North Carolina,37,3412542,29141,42.1 
25476,Ohio,39,3347767,41443,32.0 
25477,Oklahoma,40,1270476,16177,46.5 
25478,South Carolina,45,1807019,19628,42.0 
25479,Utah,49,1081661,5253,30.3 
25480,Vermont,50,150190,889,16.7 
25481,West Virginia,54,633282,7934,46.1 
25482,Wisconsin,55,1980623,16149,29.7 
25483,Alaska,2,303897,1426,26.2 
25484,Arizona,4,2398200,32775,33.0 
25485,California,6,11980295,102283,22.9 
25486,Connecticut,9,965336,11941,18.9 
25487,District of Columbia,11,176012,1422,18.5 
25488,Indiana,18,2024969,25861,35.9 
25489,Iowa,19,894126,10568,34.2 
25490,Kansas,20,926539,10080,32.4 
25491,Kentucky,21,1685679,17926,43.4 
25492,Louisiana,22,1538276,18525,46.9 
25493,Maryland,24,1344181,16288,28.0 
25494,Minnesota,27,1753092,14554,23.5 
25495,Mississippi,28,974487,13191,49.7 
25496,Nebraska,31,561195,4908,31.1 
25497,New Jersey,34,2995907,35807,22.7 
25498,New York,36,6692351,78723,23.1 
25499,North Carolina,37,3412542,29141,42.1 
25500,Ohio,39,3347767,41443,32.0 
25501,Oklahoma,40,1270476,16177,46.5 
25502,South Carolina,45,1807019,19628,42.0 
25503,Utah,49,1081661,5253,30.3 
25504,Vermont,50,150190,889,16.7 
25505,West Virginia,54,633636,7934,46.1 
25506,Wisconsin,55,1981310,16154,29.7 
25507,Alaska,2,303897,1426,26.2 
25508,Arizona,4,2398200,32775,33.0 
25509,California,6,11980295,102283,22.9 
25510,Connecticut,9,965336,11941,18.9 
25511,District of Columbia,11,176012,1422,18.5 
25512,Indiana,18,2024969,25861,35.9 
25513,Iowa,19,894126,10568,34.2 
25514,Kansas,20,926539,10080,32.4 
25515,Kentucky,21,1685679,17926,43.4 
25516,Louisiana,22,1538276,18525,46.9 
25517,Maryland,24,1344181,16288,28.0 
25518,Minnesota,27,1753092,14554,23.5 
25519,Mississippi,28,974487,13191,49.7 
25520,Nebraska,31,561195,4908,31.1 
25521,New Jersey,34,2995907,35807,22.7 
25522,New York,36,6694112,78723,23.1 
25523,North Carolina,37,3412542,29141,42.1 
25524,Ohio,39,3347767,41443,32.0 
25525,Oklahoma,40,1270476,16177,46.5 
25526,South Carolina,45,1807019,19628,42.0 
25527,Utah,49,1081661,5253,30.3 
25528,Vermont,50,150190,889,16.7 
25529,West Virginia,54,633636,7934,46.1 
25530,Wisconsin,55,1981310,16154,29.7 
25531,Alaska,2,303897,1426,26.2 
25532,Arizona,4,2398200,32775,33.0 
25533,California,6,11980312,102283,22.9 
25534,Connecticut,9,966210,11941,18.9 
25535,District of Columbia,11,176012,1422,18.5 
25536,Indiana,18,2024969,25861,35.9 
25537,Iowa,19,894126,10568,34.2 
25538,Kansas,20,926539,10080,32.4 
25539,Kentucky,21,1685679,17926,43.4 
25540,Louisiana,22,1538276,18525,46.9 
25541,Maryland,24,1344181,16288,28.0 
25542,Minnesota,27,1753092,14554,23.5 
25543,Mississippi,28,974487,13191,49.7 
25544,Nebraska,31,561195,4908,31.1 
25545,New Jersey,34,2995907,35807,22.7 
25546,New York,36,6695611,78723,23.1 
25547,North Carolina,37,3412542,29141,42.1 
25548,Ohio,39,3347767,41443,32.0 
25549,Oklahoma,40,1270476,16177,46.5 
25550,South Carolina,45,1807019,19628,42.0 
25551,Utah,49,1081661,5253,30.3 
25552,Vermont,50,150190,889,16.7 
25553,West Virginia,54,633636,7934,46.1 
25554,Wisconsin,55,1981310,16154,29.7 
25555,Alaska,2,303897,1426,26.2 
25556,Arizona,4,2398200,32775,33.0 
25557,California,6,11980312,102286,22.9 
